Part Type,Part Number,Price,Order,Totals,Order,Totals,Order,Total
Plugs,,,10/15/25,,10/17/25,,,
,,,,,,,,
PCOVERBK,40319,0.4,200,80,,,,
PN2ACNBK,48545,3.64,,,,,,
PN2ACNBN,48543,3.64,,,,,,
PN2HVYSHBK,48566,2.25,,,,,,
PN2RECTBN,48516,3.22,,,,,,
PN2RECTWH,48535,3.5,,,,,,
PN2RIBBK,48542,3.64,,,450,1638,,
PN2RIBBN,48540,3.64,,,,,,
PN2RIBNKBK,48573,3.26,20,65.2,,,,
PN2RNDNKBK,48558,1.93,,,,,,
PN2RUBRECTBK,48533BK,3.04,,,,,,
PN3THERMOBK,48565BK,4.77,,,,,,
PN3THERMOWH,48565W,3.89,,,,,,
,,,,,,,,
Shade Holders,,,,,,,,
BCLIPMED,,,,,,,,
SHHDUNOLGBK,10727BK,5.58,,,,,,
SHHDUNOLGBR,10727U,5.58,,,,,,
SHHDUNOLGBZ,10727B,5.58,,,,,,
SHHDUNOLGNK,10727N,5.58,,,,,,
SHHOLDCLMPBR,10787,3.2,,,,,,
SHHOLDCLMPNK,10785N,4.86,,,,,,
SHHOLDUNOAB,10786A or B,4.08,,,,,,
SHHOLDUNOBK,10786BK,4.08,,,,,,
SHHOLDUNOBR,10786U,4.08,20,81.6,,,,
SHHOLDUNONK,10786N,4.08,,,,,,
,,,,,,,,
Socket Covers,,,,,,,,
SKCOVAB,11661TA,1.99,,,,,,
SKCOVBK,11661TBK,1.52,,,,,,
SKCOVBR,11661T,1.48,,,,,,
SKCOVCP,11661TC,1.52,,,,,,
SKCOVNK,11661TN,1.52,,,,,,
SKCOVWH,11661TW,1.56,,,,,,
,,,,,,,,
Sockets,,,,,,,,
SKPDUPLEX,47713,3.49,20,69.8,,,,
SKPFM,47719,1.94,,,,,,
SKPGNDK 1/8 IPS,48303,2.98,,,,,,
SKPGNDK 1/4 IPS,48304,3.29,,,,,,
SKPKBK,48096,2.24,50,112,,,,
,,,,,,,,
Strain Reliefs,,,,,,,,
STRCOLLBK,26931BK,1.26,,,,,,
STRCOLLBR,26931,1,,,,,,
STRCOLLBZ,26931A,0.71,,,,,,
STRCOLLNK,26931N,0.75,,,,,,
STRMETALBK,26930BK,1.32,,,,,,
STRMETALBR,26930,1.39,,,,,,
STRMETALBZ,26930A,1.66,,,,,,
STRMETALNK,26930N,1.22,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Switches,,,,,,,,
SWDIMFRBK,48473BK,10.36,,,,,,
SWDIMFRBN,48473BR,10.36,,,,,,
SWDIMFRWH,48473W,10.36,,,,,,
SWDIMROTBK,48462,1.89,,,,,,
SWDIMROTBN,48461,1.8,,,,,,
SWDIMROTIV,48463,2.52,,,,,,
SWDIMROTWH,48460,1.92,,,,,,
SWFLRBK,40122,3.83,,,,,,
SWFLRWH,40126,4.64,,,,,,
SWFLRWBK,40151,2.24,20,44.8,,,,
SWFLRWCL,40150,1.99,,,,,,
SWFLRWWH,40155,2.46,,,,,,
SWLGBN,48465B,3.46,,,,,,
SWLGIV,48465I,4.16,,,,,,
SWROTBN,48432,0.53,,,,,,
SWROTCL,48431,0.53,,,,,,
SWROTCLGD,48430,0.93,,,,,,
SWROTWH,48433,0.5,,,,,,
SWSLIMBK (SPT-1),48450,0.7,100,70,,,,
SWSLIMBK (SPT-2),48420,0.63,,,,,100,63
SWSLIMBN,48454,0.76,,,,,,
SWSLIMCL,48452,0.88,,,,,,
SWSLIMCLGD,48423,1.09,,,,,,
SWSLIMWH,48451,0.78,,,,,,
SWVTGLGBN,48405,6.21,,,,,,
SWVTGLGIV,48406,6.23,,,,,,
SWVTGROTBN,48400,1.44,,,,,,
SWVTGROTWH,48401,1.46,,,,,,
,,,subtotal,523.4,,1638,,63
,,,shipping,32.29,,40.4,,21.84
,,,tax,,,,,
,,,total,555.69,,1678.4,,84.84
,,,,,,,,
,,,notes,,,,,
,,,ordered wrong slim switch size,,,,,
,,,(SPT-1),,,,,